關鍵字,選區,編號,姓名,政見
公園,[縣(市)長]連江縣,4,劉增應,"1.落實離島綜合建設五期及十二年中長程發展計畫，為地方創生奠定永續發展根基。
2.賡續爭取興建南北竿跨海大橋，加強水力、電力、電信、 碼頭、道路、排水、停車場等基礎設施，提升鄉親生活品質，因應產業經濟發展需求。
3.加速改善機場，興建三仟噸以上離島客貨輪，提昇馬祖對外海空交通設施。
4.興建現代化運動中心及演藝場館，舉辦各類體育競賽及藝文活動，提升縣民生活品質。
5.落實在地文化保存工作，轉化馬祖史蹟為兩岸獨特藝術形態，打造成為國際藝術島，營造新的文創產值。
6.強化醫療設施，發展智慧醫療，培育醫療人才，落實長照政策，擴建大同之家，發展醫療產業，提升健康照顧品質。
7.加強身障、婦幼、長者、新住民、中低收、弱勢群體等照顧及發展機會，賡續推動公托政策，提高生育力，建立安全、友善、健康、幸福的社會。
8.延續社會暨示範住宅政策，提供鄉親住宅需求，建立優質現代化居家環境。
9.賡續推動高等教育進駐，培養專業人才，促進產官學合作，提升產業轉型及發展。精進教學，形塑品格力，強化多元學習力。
10.重視勞工權益，友善勞動環境。成立跨局處青年事務平台，建置青創基地，輔導青年創業，擴大參與公共服務。
11.加速完成全縣土地登記及都市計劃通盤檢討，賡續推動還地於民政策，有效運用馬祖土地資源。
12.重視環境及海洋生態永續，加強海洋復育工作並捍衛漁業主權。善用海陸域資源，提高農漁業產值，兼顧環境永續及產業發展。
13.連結兩岸地緣優勢，加強經貿交流合作，拓展大陸市場，帶動地區產業經濟繁榮。
14.推動馬酒擴廠計劃，加強馬酒行銷能量，提高銷售業績，增加財源，造褔縣民。
15.賡續優化高品質旅遊環境，發展各鄉特色，推動以自然生態、閩東文化、戰地風情及地質公園等主題式旅遊，帶動地區觀光產業發展。
16.推動區域聯合治理，整合其他縣市交通、文化、教育及醫療等資源，提升政府服務效能，增進縣民褔祉。
17.推動智慧城鄉，從生活、環境、經濟、社會與治理等五大面向，建立智慧化生活環境，提升政府服務效率及國際競爭力。
18.積極培訓青年世代人才，優化辦公環境，提升政府服務效能。

19.積極加入慢城等國際認證，接軌國際，強化宣傳，開展馬祖的世界觀。
20.以「健康島嶼·幸福馬祖」為願景，「島嶼創生、國際接軌、永續發展」為目標，「綜建方案」為藍圖，打造安居樂業·健康幸福之島。"
親子,[縣(市)議員]連江縣第1選舉區,5,陳書建,"1 加速推動琅岐大陸航線開通，活絡兩岸經貿往來。
2 爭取縣府輔導民間建造500噸級客輪，航行兩岸及本縣各離島，提昇服務品質。
3 督促政府加速爭取第二家航空進駐，帶動商業發展，旅遊業更興旺。
4 爭取興建南竿大型百坪以上親子遊樂館，供學齡前兒童假日優良休閒活動空間。
5 推動本縣智慧行動縣民卡與手機連合，使縣民享有縣內及跨縣市各項福利。
6 督促縣府開通南竿至高雄直飛航線，以促進南台灣民眾來馬旅遊便利。
7 建請政府落實還地於民政策及檢討保護區使用放寬。
8 督促政府加速興建樂活多功能室內體育館。"
公園,[鄉鎮市長]連江縣莒光鄉,1,陳順壽,"1.爭取提升馬祖之星、東海明珠，南竿—莒光間交通運能，全面服務鄉親及滿足往返南竿、莒光東、西莒觀光客交通需求。
2.爭取觀光旺季，每週五、六、日，增開莒光—南竿間交通第四航班，提供遊客便捷友善的旅遊服務。
3.規劃東、西莒觀光發展，串聯東、西莒民宿業者實施觀光客分流跳島旅遊，創造雙贏
4.加強宣導本鄉特色(尤其西莒)擴大觀光旅遊亮點，促進地方觀光產業發展。
5.落實各村基礎建設，提升村里生活品質，推動地方發展。
6.推動鄉政革新，提升行政效能，積極回應鄉親需求，塑造以民意為導向的行動服務團隊。
7.落實執行本鄉東、西莒全區及各景區環境清潔，營造友善之旅遊環境，塑造美麗乾淨的新莒光。
8.輔導社區發展協會、技藝協會、健康營造中心等團體協力推動社區長照關懷服務，配合各種節日辦理慶典活動，凝聚鄉親情感。
9.規劃興建合宜住宅，提昇居住品質，解決新生代鄉親居住需求同時吸引青年返鄉築巢，打造可長可久宜居之生根計畫，爭取住宅低利貸款，減輕財政負擔。
10.推動精緻休閒無毒農業，娛樂漁業，爭取每年定期放流魚苗，活化海洋資源，提高農、漁民所得。
11.爭取整建東、西莒社教、藝文場所(東、西莒電影院)，做為社區多元活動場所。
12.推動鄉土文化建設，重視聚落保存，田沃聚落結合陳婉芬故事館爭取專案規劃整建。
13.關懷弱勢族群，保障婦幼及老人權益，促進族群和諧，維護社會公平正義。
14.積極爭取經費推動東莒猛澳碼頭、西莒青帆碼頭港埠擴建，保障各種船隻停泊安全。
15.規劃西莒菜埔澳為流紋岩地質公園，塑造自然生態、地景保育及軍事景觀等多樣性景點，帶動西莒觀光發展。"
公園/遊戲,[縣(市)議員]金門縣第1選舉區,19,莊旭英,"一、堅持乾淨參選，不買票，選後絕不貪汙，不包工程。
二、監督縣長每條政見落實且履行做到。
三、依據法令帶鄉親至縣議會聽縣長施政報告。
四、設立法律專業人員常駐本人服務處，免費處理鄉親有關法律問題。
五、監督縣政，施政必須依公正、公開、透明的原則來執行預算，懲奸除惡。
六、爭取鄉親福利，顧好金酒的生產及發展，創造更多的盈餘，督促金門大橋早日完工通車。烏坵的港口碼頭、道路、水電的基本建設要編預算，要落實。
七、政府單位不依法辦事故意刁難，找莊旭英出面解決。
八、督促縣府規劃執行觀光休閒產業，成立觀光休閒園區、生技園區、文創園區、海邊公園遊戲區，活化老街，具體落實招商引資管理效能，創造更多就業機會及產業升級發展。
九、鄉親有好的政策提供莊旭英當選後在縣長施政議會報告，建議縣長實施鄉親好政策。
十、當選議員後，如因個人行為不履行本人每條政見，本人無任何理由自辭議員職務，否則鄉親可至金門地檢署提告本人詐欺罪，本人放棄法律先訴抗辯權及任何解釋權。"
公園,[縣(市)議員]金門縣第1選舉區,8,楊永立,"一、一路走來，始終如一，全民優先，服務至上。
二、監督縣長落實選舉期間所開之政見。
三、金酒為全體縣民所有，堅決反對民營化，讓全民得到應有的福利及就業機會。
四、照顧弱勢族群，提高就業機會，提升農利生活水平，縮短城鄉差距。
五、弱勢農漁工代言人，督促政府切實照顧其應有之權力。
六、與國家公園協商縮小保護區範圍，使土地能更有效運用。"
公園,[縣(市)議員]金門縣第1選舉區,3,楊松發,"1.提案與協商，鬆綁國家公園法使用與開發限制，使土地充分利用，讓居民同享富足繁榮。
2.爭取成立都市更新委員會，結合都市計畫，打造新生活圈，活化閒置土地，結合現地文化，營造一村落一特色。
3.督促議政透明化，要求議會期間全程轉播施政報告及預算審查，讓縣民看到縣府團隊和議員們的專業表現。
4.提案並督促落實老人照顧，實現一村落一小組，善用中壯人員進行居家服務，負責各村落獨居老人居家打掃與共餐，量血壓、測血糖等基本照護。
5.督促縣府提撥縣政經費，成立醫療基金，與教學醫院成立產學合作，鼓勵資深醫師帶領年輕醫生進駐金門。
6.堅決反毒反博弈，守護金門。
7.推動並落實未入祀之戰役陣亡人員遺骸安奉工作與文獻整理，淨化土地，改變戰地陰暗印象。"
親子/遊戲,[縣(市)議員]金門縣第2選舉區,8,李應文,"一、強力監督縣府縣庫歲出與歲入的收支平衡。
二、要求縣府制定未來25年，50年的總體開發建設計劃，該保留的綠地保留，能開發的做有效開發。
三、監督教育政策的發展及預算的支出，並創造有利於親子活動的空間的規劃。
四、要求縣府對於垃圾問題，提出在未來30年內有效的解決之道。
五、要求縣府真正落實在地醫療的提升，並增加醫院詳細的科別診設立。
六、落實社會福利的發展，強力監督社會福利的有效支出。
七、要求縣府制訂規劃真正有利於身心障礙者的友善環境空間。
八、要求縣府打造出無毒安全農業的發展，讓縣民食的安心。
九、要求縣府在現有的觀光景點增加科技的設備，讓觀光的發展不僅是靜態，也有動態的發展，並要求縣府重新檢討這塊島嶼的遊戲水域的規劃，創造更好的觀光發展。
十、落實東西半島的平衡，拉近城鄉發展的差距。"
親子/共融/公園,[鄉鎮市長]金門縣金城鎮,3,李誠智,"推動全面性金城鎮村里聚落營造運動六大主軸：
「青年里村」、「數位文教」、「社福照護」、「智慧金城」、「產業創生」、「社區復興」六大面向，強調「文化城鎮、永續 成長、成果共享」基本信念主張。
1.成立「社區聚落青年發展工作坊」、「青年創業聯合育成孵化基地」、重塑社區聚落場所環境改造計畫、青年里村民宿  培力、文創設計輔導、居民參與式聚落空間再活化、生態保育藍綠帶整合、生態之旅推廣及教育。
2.建立金城鎮社區規劃師培力機制及社區聚落人才網站、社區聚落小農文創小舖、推動社區聚落產業轉型升級、促進  金城鎮社區聚落無毒農業及綠色消費、社區聚落在地就業機會。
3.推動金城鎮主題式文化體驗觀光聚落、4D 地方文化城市博物館、金城車站及城區週邊旅遊地景改造暨公共藝術設   置、打造體驗慢城風情歷史街區觀光軸線。
4.推動金城鎮停車空間改善、東門市集文化市場改善計畫平台、金城鎮社區聚落老屋健檢補助計畫(爭取縣府補助)、  公有土地老舊建築空間暨歷史建物保存活化再利用、社區聚落主要街道招牌更新計畫。
5.公辦公營華德福概念實驗托育中心、銀髮互動體驗館、兒童數位教育館、共融式銀髮親子公園、DRTS（需求反應式  公共運輸服務）便利好行老幼交通網。
6.推動幸福城鎮清淨家園工作，加強自然生態保育觀念、各村里聚落社區廢棄減量、強化各村里聚落社區污染防治。
7.推動金城鎮急診醫療衛生所新建案，社區聚落長青共餐食堂、長照 2.0 服務在厝邊之定期預防醫療、健診追蹤服務、  照護服務及失智症友善社區、銀髮相關活動及課程、社區兒童照顧。"
公園,[鄉鎮市長]金門縣金城鎮,4,許丕肯,"1.悠活金城，用地方特色打造慢城(citta slow)，接軌國際。
2.活絡金城經濟，留住年青人服務故鄉。
3.積極建構模範街、中興路與莒光路的步行商區。
4.共構莒光湖、石雕公園及海濱公園為休閒生活區。
5.活用建功嶼，戰地風情再現，成為必遊景點。
6.發展東門市場及第二市場再活化。
7.一村里一特色，整合金城商圈與各村里的交通，形成經濟共同體。
8.建設停車機制，改善違停現狀。
9.落實長照政策與建設康養樂活金城。"
共融,[鄉鎮市長]金門縣金城鎮,5,許燕輝,"金城更新三大主軸九項目標，許金城一個光輝的願景
一、提振經濟
1.城市行銷：人文古蹟故事行銷、觀光小鎮幸福之旅。
2.青創培育：提升創意導入開創、兩岸青年創業創新。
3.創新商圈：樂活創新城鄉風貌、活力老街繁榮商圈。
二、活化聚落
1.文化教育：提升人文藝術饗宴、整合發展特色社區。
2.世代共融：建構活躍老少共學、營造老幼生活共享。
3.社會福利：照顧關懷弱勢人群、促進共創友善社會。
三、更新金城
1.民生交通：智慧系統改善交通、規劃建設立體停車。
2.科技生活：推動運用數位科技、共創邁向智慧城市。
3.城鄉建設：水岸改造魅力城市、活化聚落更新金城。"
